week,pts_allowed_to_QB,pts_allowed_to_RB,pts_allowed_to_WR,pts_allowed_to_TE,pts_allowed_to_K,points_scored,points_allowed
1,28.1,10.5,60.8,10.0,9.0,117.3,118.4
2,11.5,21.4,18.4,3.1,12.0,74.3,66.4
3,5.4,30.8,17.3,5.3,3.0,94.2,61.8
4,12.8,36.6,25.0,16.4,9.0,127.4,99.8
5,26.2,12.0,42.7,6.2,9.0,123.7,96.2
6,16.8,15.7,38.2,18.2,5.0,116.8,93.9
7,2.8,7.0,26.2,7.2,7.1,124.6,50.2
8,11.3,14.5,25.0,12.0,0.0,126.3,62.8
9,28.8,25.8,25.7,28.9,3.0,87.4,112.2
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,12.6,19.8,35.7,9.1,18.0,98.8,95.2
12,16.8,12.4,26.2,20.2,2.0,117.7,77.6
13,20.6,28.9,55.5,11.0,12.0,128.4,128.0
14,12.6,22.4,31.9,9.7,8.0,52.0,84.6
