week,pts_allowed_to_QB,pts_allowed_to_RB,pts_allowed_to_WR,pts_allowed_to_TE,pts_allowed_to_K,points_scored,points_allowed
1,6.8,18.9,23.5,5.2,7.4,110.1,61.8
2,20.2,23.1,39.8,13.3,3.0,115.2,99.4
3,12.0,16.5,22.8,17.3,9.0,104.1,77.6
4,27.4,14.0,69.2,9.2,0.0,80.7,119.8
5,5.9,20.0,33.6,14.7,5.0,110.2,79.2
6,20.7,20.9,36.4,27.7,11.0,101.5,116.7
7,27.9,10.0,60.5,32.4,7.0,117.2,137.9
8,12.8,24.0,30.5,20.2,1.0,119.9,88.5
9,12.1,26.6,18.3,25.9,10.0,89.8,92.9
10,11.0,28.5,31.6,8.2,6.0,112.2,85.2
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,17.1,30.3,40.4,13.9,16.0,75.6,117.7
13,9.0,18.1,47.7,16.4,9.0,75.6,100.2
