week,pts_allowed_to_QB,pts_allowed_to_RB,pts_allowed_to_WR,pts_allowed_to_TE,pts_allowed_to_K,points_scored,points_allowed
1,22.4,24.7,19.5,6.0,9.0,87.8,81.6
2,34.0,32.6,65.2,17.4,9.0,99.6,158.2
3,12.0,21.2,58.1,23.3,8.0,116.6,122.7
4,9.8,43.9,20.3,12.5,5.0,93.2,91.5
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,21.6,16.1,21.1,18.1,15.0,82.9,92.0
7,10.5,6.7,28.3,17.5,0.0,71.4,63.0
8,30.6,24.1,25.7,17.2,13.0,90.8,110.5
9,30.7,19.8,77.9,19.4,10.0,168.4,157.8
10,29.3,18.4,28.5,16.3,8.0,108.1,100.5
11,6.0,22.1,23.9,7.6,5.0,84.8,64.6
12,7.5,33.0,34.6,21.9,4.0,102.5,101.0
13,16.3,9.3,47.8,6.3,3.0,93.7,82.7
14,19.3,19.8,66.3,10.7,4.0,86.8,120.1
