week,pts_allowed_to_QB,pts_allowed_to_RB,pts_allowed_to_WR,pts_allowed_to_TE,pts_allowed_to_K,points_scored,points_allowed
1,2.5,7.9,7.7,7.5,15.0,65.7,40.6
2,22.8,29.5,29.9,11.9,0.0,72.8,94.1
3,14.6,24.9,47.1,9.6,12.0,61.3,108.2
4,0.0,10.5,17.2,1.8,3.0,109.3,32.5
5,19.5,17.8,32.1,10.9,5.0,79.9,85.3
6,0.0,7.0,4.7,3.3,12.0,56.0,27.0
7,28.4,10.8,15.5,33.4,0.0,114.5,88.1
8,6.6,18.2,31.9,17.6,6.0,116.5,80.4
9,4.4,6.1,28.5,13.7,17.0,70.9,69.7
10,4.4,17.8,16.3,8.9,7.0,44.1,54.4
11,13.3,16.0,32.5,27.0,7.0,91.0,95.9
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
