week,pts_allowed_to_QB,pts_allowed_to_RB,pts_allowed_to_WR,pts_allowed_to_TE,pts_allowed_to_K,points_scored,points_allowed
1,5.5,16.3,37.9,5.0,8.0,96.8,72.8
2,21.7,20.6,18.7,16.9,2.0,110.9,79.9
3,14.1,14.8,16.2,19.8,6.0,96.4,70.9
4,11.7,24.4,31.6,22.9,8.0,96.7,98.5
5,25.6,32.4,53.4,11.4,5.0,123.5,127.8
6,19.6,26.2,43.3,10.7,6.0,101.9,105.8
7,12.2,22.8,21.8,13.7,0.0,95.2,70.6
8,21.7,26.8,55.4,8.5,14.0,80.9,126.4
9,27.2,13.8,38.8,14.4,5.0,115.7,99.2
10,26.9,28.0,43.6,33.4,6.0,121.7,137.9
11,21.9,26.3,57.1,28.6,3.0,117.2,136.9
