week,home_team,away_team,temperature,gust,precipitation,home_team_score,away_team_score,indoor,neutral_site,country,city,state,date
1,KC,DET,73,9,0.0,20,21,False,False,USA,Kansas City,MO,2023-09-08T00:20Z
1,ATL,CAR,,,,24,10,True,False,USA,Atlanta,GA,2023-09-10T17:00Z
1,CLE,CIN,68,12,0.0,24,3,False,False,USA,Cleveland,OH,2023-09-10T17:00Z
1,IND,JAX,,,,21,31,True,False,USA,Indianapolis,IN,2023-09-10T17:00Z
1,MIN,TB,,,,17,20,True,False,USA,Minneapolis,MN,2023-09-10T17:00Z
1,NO,TEN,,,,16,15,True,False,USA,New Orleans,LA,2023-09-10T17:00Z
1,PIT,SF,73,14,0.0,7,30,False,False,USA,Pittsburgh,PA,2023-09-10T17:00Z
1,WSH,ARI,74,8,0.0,20,16,False,False,USA,Landover,MD,2023-09-10T17:00Z
1,BAL,HOU,75,9,0.02,25,9,False,False,USA,Baltimore,MD,2023-09-10T17:00Z
1,CHI,GB,74,16,0.0,20,38,False,False,USA,Chicago,IL,2023-09-10T20:25Z
1,DEN,LV,69,16,0.01,16,17,False,False,USA,Denver,CO,2023-09-10T20:25Z
1,NE,PHI,72,8,0.09,20,25,False,False,USA,Foxborough,MA,2023-09-10T20:25Z
1,LAC,MIA,,,,34,36,True,False,USA,Inglewood,CA,2023-09-10T20:25Z
1,SEA,LAR,77,17,0.0,13,30,False,False,USA,Seattle,WA,2023-09-10T20:25Z
1,NYG,DAL,71,4,0.16,0,40,False,False,USA,East Rutherford,NJ,2023-09-11T00:20Z
1,NYJ,BUF,72,10,0.0,22,16,False,False,USA,East Rutherford,NJ,2023-09-12T00:15Z
2,PHI,MIN,66,13,0.0,34,28,False,False,USA,Philadelphia,PA,2023-09-15T00:15Z
2,ATL,GB,,,,25,24,True,False,USA,Atlanta,GA,2023-09-17T17:00Z
2,BUF,LV,72,9,0.0,38,10,False,False,USA,Orchard Park,NY,2023-09-17T17:00Z
2,CIN,BAL,74,12,0.0,24,27,False,False,USA,Cincinnati,OH,2023-09-17T17:00Z
2,DET,SEA,,,,31,37,True,False,USA,Detroit,MI,2023-09-17T17:00Z
2,TEN,LAC,73,16,0.0,27,24,False,False,USA,Nashville,TN,2023-09-17T17:00Z
2,TB,CHI,94,20,0.0,27,17,False,False,USA,Tampa,FL,2023-09-17T17:00Z
2,JAX,KC,84,20,0.15,9,17,False,False,USA,Jacksonville,FL,2023-09-17T17:00Z
2,HOU,IND,,,,20,31,True,False,USA,Houston,TX,2023-09-17T17:00Z
2,LAR,SF,,,,23,30,True,False,USA,Inglewood,CA,2023-09-17T20:05Z
2,ARI,NYG,,,,28,31,True,False,USA,Glendale,AZ,2023-09-17T20:05Z
2,DAL,NYJ,,,,30,10,True,False,USA,Arlington,TX,2023-09-17T20:25Z
2,DEN,WSH,80,10,0.0,33,35,False,False,USA,Denver,CO,2023-09-17T20:25Z
2,NE,MIA,64,14,0.06,17,24,False,False,USA,Foxborough,MA,2023-09-18T00:20Z
2,CAR,NO,71,5,0.0,17,20,False,False,USA,Charlotte,NC,2023-09-18T23:15Z
2,PIT,CLE,60,5,0.0,26,22,False,False,USA,Pittsburgh,PA,2023-09-19T00:15Z
3,SF,NYG,69,24,0.0,30,12,False,False,USA,Santa Clara,CA,2023-09-22T00:15Z
3,CLE,TEN,63,20,0.0,27,3,False,False,USA,Cleveland,OH,2023-09-24T17:00Z
3,DET,ATL,,,,20,6,True,False,USA,Detroit,MI,2023-09-24T17:00Z
3,GB,NO,70,22,0.0,18,17,False,False,USA,Green Bay,WI,2023-09-24T17:00Z
3,MIA,DEN,86,13,0.0,70,20,False,False,USA,Miami Gardens,FL,2023-09-24T17:00Z
3,MIN,LAC,,,,24,28,True,False,USA,Minneapolis,MN,2023-09-24T17:00Z
3,NYJ,NE,66,39,0.01,10,15,False,False,USA,East Rutherford,NJ,2023-09-24T17:00Z
3,WSH,BUF,67,8,0.0,3,37,False,False,USA,Landover,MD,2023-09-24T17:00Z
3,JAX,HOU,87,14,0.0,17,37,False,False,USA,Jacksonville,FL,2023-09-24T17:00Z
3,BAL,IND,66,12,0.02,19,22,False,False,USA,Baltimore,MD,2023-09-24T17:00Z
3,SEA,CAR,63,7,0.0,37,27,False,False,USA,Seattle,WA,2023-09-24T20:05Z
3,KC,CHI,80,14,0.0,41,10,False,False,USA,Kansas City,MO,2023-09-24T20:25Z
3,ARI,DAL,,,,28,16,True,False,USA,Glendale,AZ,2023-09-24T20:25Z
3,LV,PIT,,,,18,23,True,False,USA,Las Vegas,NV,2023-09-25T00:20Z
3,TB,PHI,77,12,0.0,11,25,False,False,USA,Tampa,FL,2023-09-25T23:15Z
3,CIN,LAR,67,15,0.24,19,16,False,False,USA,Cincinnati,OH,2023-09-26T00:15Z
4,GB,DET,63,22,0.0,20,34,False,False,USA,Green Bay,WI,2023-09-29T00:15Z
4,JAX,ATL,73,21,0.0,23,7,False,True,England,London,,2023-10-01T13:30Z
4,BUF,MIA,71,14,0.0,48,20,False,False,USA,Orchard Park,NY,2023-10-01T17:00Z
4,CHI,DEN,76,12,0.0,28,31,False,False,USA,Chicago,IL,2023-10-01T17:00Z
4,CLE,BAL,68,14,0.0,3,28,False,False,USA,Cleveland,OH,2023-10-01T17:00Z
4,TEN,CIN,84,11,0.0,27,3,False,False,USA,Nashville,TN,2023-10-01T17:00Z
4,IND,LAR,,,,23,29,True,False,USA,Indianapolis,IN,2023-10-01T17:00Z
4,NO,TB,,,,9,26,True,False,USA,New Orleans,LA,2023-10-01T17:00Z
4,PHI,WSH,79,17,0.0,34,31,False,False,USA,Philadelphia,PA,2023-10-01T17:00Z
4,CAR,MIN,78,18,0.0,13,21,False,False,USA,Charlotte,NC,2023-10-01T17:00Z
4,HOU,PIT,,,,30,6,True,False,USA,Houston,TX,2023-10-01T17:00Z
4,LAC,LV,,,,24,17,True,False,USA,Inglewood,CA,2023-10-01T20:05Z
4,DAL,NE,,,,38,3,True,False,USA,Arlington,TX,2023-10-01T20:25Z
4,SF,ARI,72,17,0.0,35,16,False,False,USA,Santa Clara,CA,2023-10-01T20:25Z
4,NYJ,KC,63,6,0.0,20,23,False,False,USA,East Rutherford,NJ,2023-10-02T00:20Z
4,NYG,SEA,68,8,0.0,3,24,False,False,USA,East Rutherford,NJ,2023-10-03T00:15Z
