week,pts_allowed_to_QB,pts_allowed_to_RB,pts_allowed_to_WR,pts_allowed_to_TE,pts_allowed_to_K,points_scored,points_allowed
1,8.3,21.9,24.3,6.2,5.0,113.6,65.7
2,33.5,14.0,61.8,12.3,7.0,126.9,128.7
3,10.4,13.9,35.4,11.0,3.0,83.0,73.7
4,17.7,34.5,20.8,16.8,25.0,98.5,114.7
5,26.7,33.9,36.2,22.8,4.0,96.2,123.7
6,20.0,9.5,56.4,11.7,10.0,105.8,107.6
7,27.4,13.8,48.7,24.1,5.0,91.4,119.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,26.3,22.3,17.4,50.8,5.0,116.2,121.8
10,27.7,24.0,51.9,20.0,0.0,89.4,123.5
11,4.9,8.1,29.1,6.7,8.0,96.5,56.8
12,18.7,22.0,42.2,21.4,5.0,114.3,109.3
