week,pts_allowed_to_QB,pts_allowed_to_RB,pts_allowed_to_WR,pts_allowed_to_TE,pts_allowed_to_K,points_scored,points_allowed
1,29.6,25.2,40.0,6.6,10.0,132.4,111.4
2,15.8,20.1,62.7,16.1,8.0,86.9,122.7
3,19.2,13.1,21.3,33.8,2.0,81.5,89.4
4,21.2,26.6,47.4,9.6,8.0,98.4,112.8
5,0.0,0.0,0.0,0.0,0.0,3.8,0.0
6,8.8,16.0,20.6,21.9,11.0,108.7,78.3
7,26.0,15.1,68.4,19.7,17.0,124.1,146.2
8,28.3,26.9,33.2,36.2,7.0,109.7,131.6
9,14.1,11.0,55.2,9.5,4.0,92.9,93.8
10,14.7,17.8,38.1,8.2,13.0,61.7,91.8
11,9.9,19.4,27.2,13.5,8.0,106.1,78.0
12,21.7,12.7,42.6,17.6,8.0,101.0,102.5
13,16.7,30.4,19.7,7.8,8.0,58.7,82.6
14,21.1,22.1,29.5,17.3,10.0,104.6,99.9
