week,pts_allowed_to_QB,pts_allowed_to_RB,pts_allowed_to_WR,pts_allowed_to_TE,pts_allowed_to_K,points_scored,points_allowed
1,15.9,14.4,25.9,12.5,9.0,68.8,77.7
2,17.0,18.5,47.0,12.1,3.0,152.5,97.6
3,27.0,18.2,22.9,27.1,7.0,109.7,102.2
4,0.0,24.2,18.2,7.6,3.0,89.4,53.0
5,0.0,16.7,53.4,11.7,8.0,101.8,89.8
6,31.5,15.6,45.3,18.3,6.0,77.3,116.7
7,11.1,10.0,33.1,13.5,5.0,106.8,72.7
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,18.9,16.5,29.8,9.1,11.0,84.4,85.3
10,18.7,14.5,26.8,9.4,0.0,141.4,69.4
11,14.5,10.0,20.0,4.4,11.0,80.9,59.9
12,0.0,20.7,46.1,13.5,10.0,148.6,90.3
